epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9207,1.73436,3.69537,1.78711,0.02426,0.71704,0.09255,0.04792,1.70416,3.87047,1.94695,0.00018,0.00018,0.00018
2,28.1784,1.71981,3.29909,1.67784,0.01253,0.8201,0.14987,0.07571,1.73328,3.71063,1.79836,0.000366337,0.000366337,0.000366337
3,35.8247,1.71927,2.89337,1.68007,0.01101,0.91241,0.17467,0.06726,1.88725,3.40141,1.90266,0.000548912,0.000548912,0.000548912
4,41.3744,1.7192,2.61781,1.60006,0.83891,0.02417,0.24693,0.11441,1.8466,3.08164,1.93989,0.000727725,0.000727725,0.000727725
5,48.0713,1.71558,2.59321,1.64221,0.17739,0.23244,0.23655,0.1237,1.89655,3.03305,2.12121,0.000902776,0.000902776,0.000902776
6,53.799,1.81641,2.18694,1.59081,0.29177,0.36374,0.35493,0.14792,1.92939,2.60711,2.15101,0.0009505,0.0009505,0.0009505
7,60.3178,1.94173,2.41153,1.69008,0.69824,0.28758,0.40191,0.18882,2.0496,2.25591,2.13306,0.0009406,0.0009406,0.0009406
8,66.2057,1.63259,2.36701,1.6055,0.63042,0.28218,0.35351,0.12877,1.86483,2.10615,1.93852,0.0009307,0.0009307,0.0009307
9,72.2184,1.76821,2.0584,1.58869,0.54385,0.42402,0.42709,0.16146,1.98681,2.20812,2.1792,0.0009208,0.0009208,0.0009208
10,78.4967,1.78211,2.02231,1.59593,0.63736,0.35399,0.3583,0.15356,1.923,2.11391,2.08906,0.0009109,0.0009109,0.0009109
11,84.0174,1.72471,2.0903,1.5374,0.50789,0.39666,0.36827,0.16276,1.88475,2.1181,2.01951,0.000901,0.000901,0.000901
12,90.472,1.75002,2.09146,1.621,0.68176,0.54386,0.59956,0.31852,1.6516,1.95392,1.86997,0.0008911,0.0008911,0.0008911
13,96.1388,1.7155,2.03525,1.62221,0.64827,0.57603,0.57869,0.2774,1.88053,1.77076,2.04163,0.0008812,0.0008812,0.0008812
14,102.772,1.69386,1.89153,1.51166,0.45596,0.6335,0.55262,0.26157,1.8086,1.81611,2.06454,0.0008713,0.0008713,0.0008713
15,108.391,1.69496,1.88587,1.5961,0.64832,0.67623,0.70261,0.38125,1.71802,1.64354,1.93004,0.0008614,0.0008614,0.0008614
16,114.884,1.62742,1.7366,1.54385,0.69603,0.68138,0.71543,0.38671,1.73986,1.6619,1.93716,0.0008515,0.0008515,0.0008515
17,120.812,1.55216,1.93042,1.54832,0.66106,0.59513,0.66132,0.32199,1.85823,1.60074,2.03521,0.0008416,0.0008416,0.0008416
18,126.565,1.6698,1.81997,1.55675,0.61639,0.56458,0.60114,0.26696,1.84705,1.68609,2.11063,0.0008317,0.0008317,0.0008317
19,132.869,1.65694,1.6956,1.50348,0.68249,0.56522,0.65563,0.28419,1.92048,1.7333,2.10921,0.0008218,0.0008218,0.0008218
20,138.464,1.57577,1.81802,1.51174,0.55186,0.56424,0.60535,0.28385,1.77013,1.80787,1.92154,0.0008119,0.0008119,0.0008119
21,144.905,1.59252,1.80141,1.52775,0.50097,0.57651,0.61555,0.31456,1.72814,1.63595,1.90663,0.000802,0.000802,0.000802
22,150.446,1.6349,1.69381,1.48221,0.61601,0.50923,0.56738,0.26281,1.71964,1.89586,1.85467,0.0007921,0.0007921,0.0007921
23,157.009,1.60862,1.81686,1.54571,0.76804,0.47494,0.63421,0.31026,1.5983,1.85634,1.70208,0.0007822,0.0007822,0.0007822
24,162.514,1.46626,1.737,1.49923,0.80049,0.55725,0.67138,0.38115,1.54352,1.5796,1.68145,0.0007723,0.0007723,0.0007723
25,168.951,1.46726,1.6114,1.4744,0.75788,0.57367,0.66555,0.34857,1.61833,1.52074,1.71413,0.0007624,0.0007624,0.0007624
26,174.865,1.59596,1.63724,1.43026,0.64746,0.70067,0.66119,0.34788,1.72691,1.49087,1.79571,0.0007525,0.0007525,0.0007525
27,180.619,1.54816,1.59629,1.40751,0.70493,0.58722,0.60554,0.33097,1.75607,1.50956,1.82613,0.0007426,0.0007426,0.0007426
28,186.903,1.48393,1.57584,1.47525,0.81671,0.63422,0.7673,0.36861,1.77871,1.45243,1.92826,0.0007327,0.0007327,0.0007327
29,192.53,1.52262,1.46053,1.4123,0.80248,0.56917,0.71129,0.32009,1.86451,1.46474,2.0153,0.0007228,0.0007228,0.0007228
30,199.109,1.51906,1.59818,1.4548,0.62953,0.73406,0.74838,0.34703,1.75147,1.42795,1.88629,0.0007129,0.0007129,0.0007129
31,204.687,1.54297,1.53027,1.45159,0.62731,0.60227,0.6846,0.31585,1.72154,1.53268,1.89498,0.000703,0.000703,0.000703
32,211.218,1.5275,1.51405,1.4063,0.65164,0.5623,0.60818,0.30042,1.85115,1.56303,1.95225,0.0006931,0.0006931,0.0006931
33,216.853,1.43048,1.55505,1.40836,0.72479,0.6678,0.71035,0.32381,1.74411,1.53284,1.89824,0.0006832,0.0006832,0.0006832
34,222.698,1.49019,1.47595,1.41181,0.57766,0.64678,0.66466,0.34231,1.66152,1.44826,1.826,0.0006733,0.0006733,0.0006733
35,228.948,1.58109,1.47075,1.44847,0.66729,0.62999,0.70996,0.38376,1.62661,1.30204,1.76649,0.0006634,0.0006634,0.0006634
36,234.561,1.33912,1.47317,1.43991,0.83014,0.60186,0.73507,0.3956,1.62537,1.29793,1.74334,0.0006535,0.0006535,0.0006535
37,241.045,1.55493,1.44818,1.38796,0.79584,0.63135,0.70076,0.3735,1.67208,1.32056,1.8258,0.0006436,0.0006436,0.0006436
38,246.512,1.42629,1.3695,1.38956,0.80232,0.69317,0.7617,0.38435,1.69753,1.28784,1.84176,0.0006337,0.0006337,0.0006337
39,252.998,1.43521,1.3785,1.3503,0.65348,0.67304,0.76092,0.39286,1.68783,1.2251,1.82147,0.0006238,0.0006238,0.0006238
40,258.583,1.40331,1.40721,1.33553,0.84311,0.63256,0.77343,0.41012,1.6964,1.20796,1.811,0.0006139,0.0006139,0.0006139
41,264.665,1.40132,1.27486,1.34584,0.80427,0.72532,0.79873,0.39197,1.71942,1.20448,1.83974,0.000604,0.000604,0.000604
42,270.569,1.4681,1.41656,1.40422,0.77984,0.73953,0.77446,0.38397,1.7627,1.2341,1.88796,0.0005941,0.0005941,0.0005941
43,276.064,1.48463,1.26061,1.36216,0.69074,0.64773,0.73416,0.35952,1.76228,1.37591,1.91303,0.0005842,0.0005842,0.0005842
44,282.724,1.36649,1.27649,1.35911,0.65764,0.66063,0.6626,0.35586,1.70114,1.30901,1.8696,0.0005743,0.0005743,0.0005743
45,288.233,1.36873,1.26371,1.3626,0.63514,0.59871,0.66843,0.35808,1.71549,1.31514,1.88028,0.0005644,0.0005644,0.0005644
46,294.819,1.45363,1.32401,1.43324,0.81307,0.60439,0.67907,0.37975,1.67299,1.30053,1.79841,0.0005545,0.0005545,0.0005545
47,300.273,1.32765,1.2574,1.35707,0.77734,0.6666,0.71752,0.37813,1.7389,1.30629,1.83701,0.0005446,0.0005446,0.0005446
48,306.663,1.39126,1.19728,1.31862,0.62446,0.64976,0.69696,0.37799,1.75583,1.33869,1.86542,0.0005347,0.0005347,0.0005347
49,312.469,1.36923,1.26643,1.32544,0.72191,0.59952,0.69877,0.39407,1.7553,1.36285,1.81427,0.0005248,0.0005248,0.0005248
50,319.85,1.33428,1.1524,1.28591,0.71768,0.6535,0.72086,0.39878,1.78356,1.3231,1.81194,0.0005149,0.0005149,0.0005149
